bus,sub,time,KV,region,area,coordinates,VOLTAGE,NAME,gisType,kvBase,PU,styleColor,styleOpacity,styleWeight
35B1,1004S,2026-07-12T01:21:38,34.70000076293945,SE,48,"-110.26830749799834,51.189266612142006",144,Bullseye,Point,72,0.482,purple,0.3,8
138B1,1012S,2026-07-12T01:21:38,141.77999877929688,WE,29,"-116.61424363302281,53.80463055596955",138,Deer Hill,Point,138,1.027,green,0.3,8
1148L,1018S,2026-07-12T01:21:38,251.08001708984375,SE,4,"-111.29036808246215,49.644271010776684",240,Shamrock,Point,240,1.046,red,0.3,8
34BA,1018S,2026-07-12T01:21:38,34.29999923706055,SE,4,"-111.29604575055423,49.64546411264412",240,Shamrock,Point,72,0.476,purple,0.3,8
34BB,1018S,2026-07-12T01:21:38,34.39999771118164,SE,4,"-111.2876474499619,49.64629395966681",240,Shamrock,Point,72,0.478,purple,0.3,8
2AB1,1019S,2026-07-12T01:21:38,254.09999084472656,SE,4,"-110.53003949607243,49.85019347206007",240,Woolchester,Point,240,1.059,red,0.3,8
34B1,1019S,2026-07-12T01:21:38,34.29999923706055,SE,4,"-110.52492254598563,49.846360954035156",240,Woolchester,Point,72,0.476,purple,0.3,8
34B2,1019S,2026-07-12T01:21:38,33.79999923706055,SE,4,"-110.52418783499779,49.84765743797303",240,Woolchester,Point,72,0.469,purple,0.3,8
138A,101S,2026-07-12T01:21:38,142.55015563964844,WE,29,"-117.39905926921374,53.072622517259866",69/138,Cheviot,Point,138,1.033,green,0.3,8
69A,101S,2026-07-12T01:21:38,73.37025451660156,WE,29,"-117.40680345753532,53.06897382344181",69/138,Cheviot,Point,72,1.019,purple,0.3,8
2AB1,1024S,2026-07-12T01:21:38,251.39999389648438,SE,4,"-111.12984625456399,49.69436243699157",240,Granlea,Point,240,1.047,red,0.3,8
34B1,1024S,2026-07-12T01:21:38,34.79999923706055,SE,4,"-111.12919250697166,49.69285154103598",240,Granlea,Point,72,0.483,purple,0.3,8
34B2,1024S,2026-07-12T01:21:38,34.39999771118164,SE,4,"-111.13688675502894,49.69526437811661",240,Granlea,Point,72,0.478,purple,0.3,8
B1,1029S,2026-07-12T01:21:38,140.0,WE,29,"-117.34441087968825,53.3617736689331",138,Vista,Point,138,1.014,green,0.3,8
138B1,1034S,2026-07-12T01:21:38,138.89999389648438,FM,25,"-111.224521952458,55.4584434486795",138,Margie,Point,138,1.007,green,0.3,8
34B1,1039S,2026-07-12T01:21:38,33.599998474121094,SE,52,"-112.40350329759299,50.2795349563672",138,Wheatcrest,Point,72,0.467,purple,0.3,8
